前面的資料是直接從TEJ資料庫抓的，然後成長率是用Excel 算的

公司,外資合計(比率)2020,外資合計(比率)2019,市值(百萬元)2019,市值(百萬元)2020,市值(百萬元)2021,2020成長率,2021成長率
1463 強盛,3.11,5.56,2235,"2,105",2460,-5.81655481,16.86460808
1464 得力,1.87,1.25,9979,"7,230",6038,-27.54785049,-16.4868603
1465 偉全,0.34,0.3,1528,"1,347",1305,-11.84554974,-3.118040089
1466 聚隆,0.12,0.29,867,"2,051",1695,136.5628604,-17.35738664
1467 南緯,19.29,19.5,1892,"4,147",3317,119.1860465,-20.01446829
1468 昶和,1.83,1.81,1628,"1,949",2109,19.71744472,8.209338122
1470 大統新創,0.04,0.04,1848,"1,552",1522,-16.01731602,-1.932989691
1471 首利,0.08,0.06,563,707,1340,25.57726465,89.53323904
1472 三洋實業,0.35,0.44,1494,523,812,-64.99330656,55.2581262
1473 台南,9.97,10.09,3451,"2,686",2663,-22.16748768,-0.856291884
1474 弘裕,0.18,0.16,1156,"1,643",2013,42.12802768,22.51978089
1475 業旺,0.02,0.07,71,370,1316,421.1267606,255.6756757
1476 儒鴻,35.07,39.02,106454,"114,274",173126,7.34589588,51.50077883
1477 聚陽,10.92,45.62,35177,"41,663",59739,18.43818404,43.38621799
1503 士電,32.11,32.02,23600,"26,726",28080,13.24576271,5.066227643
1504 東元,39.31,45.05,53816,"59,523",67693,10.60465289,13.72578667
1506 正道,0.42,0.39,2082,"1,708",2602,-17.96349664,52.34192037
1507 永大,32.31,50.47,25923,"27,689",26457,6.812483123,-4.449420347
1512 瑞利,7.47,8.58,1144,"1,096",1016,-4.195804196,-7.299270073
1513 中興電,11.71,10.73,8610,"22,885",21545,165.7955865,-5.855363775
1514 亞力,10.93,9.75,3614,"6,002",5936,66.07636967,-1.099633456
1515 力山,7.61,14.9,14427,"14,209",10253,-1.51105566,-27.8415089
1516 川飛,0.13,0.09,514,769,840,49.61089494,9.232769831
1517 利奇,2.52,3.01,2094,"3,303",6208,57.73638968,87.95034817
1519 華城,6.35,7.66,6670,"12,805",9751,91.97901049,-23.85005857
1521 大億,33.61,33.61,4947,"4,398",3068,-11.09763493,-30.24101864
1522 堤維西,6.39,7.24,9184,"6,821",6070,-25.72952962,-11.01011582
1524 耿鼎,0.12,0.31,1793,"1,565",1876,-12.71611824,19.87220447
1525 江申,0.06,0.51,4125,"4,888",4514,18.4969697,-7.651391162
1526 日馳,1.95,0.17,1536,"2,988",2934,94.53125,-1.807228916
1527 鑽全,8.65,34.17,6624,"5,799",6056,-12.45471014,4.431798586
1528 恩德,1.25,1.19,1774,"1,601",2382,-9.751972943,48.78201124
1529 樂士,0.32,0,1617,"1,372",3243,-15.15151515,136.3702624
1530 亞崴,0.66,0.63,2753,"2,922",3207,6.138757719,9.753593429
1531 高林股,9.25,11.97,2784,"2,157",2929,-22.52155172,35.7904497
1532 勤美,11.92,13.04,12116,"12,995",12431,7.254869594,-4.34013082
1533 車王電,6.91,6.62,3622,"3,257",5775,-10.07730536,77.31040835
1535 中宇,0.39,0.56,4269,"4,244",4944,-0.585617241,16.4938737
1536 和大,13.7,14.38,28683,"24,103",25520,-15.96764634,5.878936232
1537 廣隆,23.4,24.8,11818,"11,409",11408,-3.460822474,-0.00876501
1538 正峰,0.24,0.41,213,180,279,-15.49295775,55
1539 巨庭,0.16,0.69,1288,"1,301",1432,1.00931677,10.06917756
1540 喬福,0.79,2.2,1598,"1,295",1291,-18.9612015,-0.308880309
1541 錩泰,9.75,9.83,2817,"4,027",3455,42.95349663,-14.20412218
1558 伸興,10.8,17.83,8112,"8,445",8838,4.105029586,4.653641208
1560 中砂,12.75,13.15,9659,"8,436",17216,-12.66176623,104.077762
1568 倉佑,1.67,1.74,2020,"1,886",2469,-6.633663366,30.91198303
1582 信錦,28.91,31.51,9861,"10,888",8685,10.41476524,-20.23328435
1583 程泰,0.05,0.05,5940,"6,580",7021,10.77441077,6.70212766
1587 吉茂,20.06,20.03,1118,"1,758",1795,57.2450805,2.104664391
1597 直得,3.93,3.7,6998,"6,316",7209,-9.745641612,14.13869538
1598 岱宇,7.93,0.57,3844,"17,574",7287,357.1800208,-58.53533629
1603 華電,1.72,1.9,5454,"5,454",5137,0,-5.812247891
1604 聲寶,12.35,11.28,7744,"10,067",11577,29.99741736,14.99950333
1605 華新,22.04,28.56,46730,"58,984",90930,26.22298309,54.16045029
1608 華榮,3.3,3.64,6144,"6,771",14048,10.20507813,107.4730468
1609 大亞,10.44,8.23,6308,"11,425",16115,81.1192137,41.05032823
1611 中電,11.52,11.58,4223,"3,647",7116,-13.63959271,95.11927612
1612 宏泰,10.71,10.69,3319,"4,757",8503,43.3263031,78.74710952
1614 三洋電,2.13,1.87,8154,"9,688",9715,18.81285259,0.278695293
1615 大山,0.13,0.07,1879,"2,762",4451,46.99308143,61.15133961
1616 億泰,0.07,0.08,899,"1,107",2359,23.13681869,113.0984643
1617 榮星,21.25,21.25,1724,"1,853",2582,7.482598608,39.3416082
1618 合機,1.11,1.13,2100,"2,637",2794,25.57142857,5.953735305
1701 中化,9.59,11.45,5649,"7,020",6752,24.26978226,-3.817663818
1702 南僑,16.6,18.09,14604,"13,060",14765,-10.57244591,13.05513017
1707 葡萄王,11.76,22.75,25622,"23,305",23702,-9.043009913,1.703497104
1708 東鹼,8.14,8.17,5161,"5,208",8479,0.910676226,62.80721966
1709 和益,3.69,3.87,6603,"6,821",11019,3.301529608,61.54522797
1710 東聯,9.71,12.52,18998,"15,500",19840,-18.41246447,28
1711 永光,8.57,8.62,8682,"9,257",14926,6.62289795,61.24014259
1712 興農,11.71,12.38,7968,"8,704",11879,9.236947791,36.47748162
1713 國化,4.01,5.06,2694,"2,785",3766,3.377876763,35.22441652
1714 和桐,17.76,18.59,7067,"11,033",11338,56.11999434,2.764433971
1717 長興,14.84,14.52,32247,"43,162",50231,33.8481099,16.37783235
1718 中纖,10.79,12.57,12971,"14,592",17115,12.49710894,17.29029605
1720 生達,1.72,2.28,5790,"6,790",7702,17.27115717,13.43151694
1721 三晃,3.34,2.77,1932,"2,246",5320,16.25258799,136.8655387
1722 台肥,14.17,15.4,47285,"52,234",68600,10.46632124,31.33208255
1723 中碳,12.72,15.97,29495,"22,956",28547,-22.1698593,24.35528838
1725 元禎,0.1,0.14,2655,"2,546",6237,-4.105461394,144.9725059
1726 永記,14.85,14.94,11389,"11,534",11972,1.273158311,3.797468354
1727 中華化,0.98,0.9,1295,"1,163",5499,-10.19305019,372.8288908
1730 花仙子,8.82,13.14,4490,"4,540",4015,1.113585746,-11.56387665
1731 美吾華,0.98,0.65,1768,"2,319",2598,31.16515837,12.03104787
1732 毛寶,0.19,0.28,433,921,1460,112.7020785,58.52334419
1733 五鼎,3.16,11.7,2710,"2,444",2599,-9.815498155,6.342062193
1734 杏輝,2.99,2.8,3187,"5,568",4847,74.70975839,-12.94899425
1735 日勝化,50.22,50.19,1709,"1,709",1844,0,7.899356349
1736 喬山,3.62,3.25,24593,"24,198",17094,-1.606148091,-29.35779817
1737 臺鹽,9.33,14.06,6400,"6,500",6640,1.5625,2.153846154
1760 寶齡富錦,2.08,3.2,6768,"8,096",6448,19.62174941,-20.35573123
1762 中化生,2.36,2.28,2819,"5,197",5034,84.35615466,-3.13642486
1773 勝一,2.58,2.89,13770,"18,180",35100,32.02614379,93.06930693
1776 展宇,0.04,0.03,1004,"1,104",1512,9.960159363,36.95652174
1783 和康生,7.57,17.38,1705,"1,559",3996,-8.563049853,156.3181527
1786 科妍,1.05,0.46,4253,"3,996",3283,-6.042793322,-17.84284284
1789 神隆,3.97,3.83,18582,"22,813",19492,22.76934668,-14.55748915
1795 美時,69.81,70.15,25649,"20,655",25623,-19.47054466,24.05228758
1802 台玻,7.04,7.25,33879,"42,458",77791,25.32247115,83.21871025
1805 寶徠,0.11,0.16,713,"1,008",1474,41.37447405,46.23015873
1806 冠軍,12.1,17.77,2893,"2,707",5466,-6.429312133,101.9209457
1808 潤隆,4.64,6.65,18685,"23,199",21728,24.15841584,-6.340790551
1809 中釉,3.63,3.08,2030,"1,929",2739,-4.975369458,41.99066874
1810 和成,3.41,3.86,2877,"3,373",6528,17.24018074,93.53691076
1817 凱撒衛,1.53,2.56,2508,"2,356",2679,-6.060606061,13.70967742
1903 士紙,14.93,14.9,8633,"18,047",16877,109.0466813,-6.483071979
1904 正隆,13.21,12.72,20171,"36,684",39122,81.86505379,6.645949188
1905 華紙,4.13,4.3,10168,"10,874",27350,6.943351692,151.5173809
1906 寶隆,1.13,1.13,1993,"2,220",3118,11.38986453,40.45045045
1907 永豐餘,17.6,18.08,19924,"34,785",59026,74.58843606,69.68808394
1909 榮成,14.37,11.36,16195,"21,785",31176,34.51682618,43.10764287
2002 中鋼,18.81,21.56,374490,"342,233",556227,-8.613581137,62.52874504
2006 東和鋼鐵,12.96,11.56,21587,"31,451",48997,45.69416779,55.78836921
2007 燁興,0.06,0.06,2377,"3,614",11250,52.04038704,211.28943
2008 高興昌,7.12,7.15,2481,"2,701",4007,8.867392181,48.35246205
2009 第一銅,1.44,6.44,3366,"3,492",15859,3.743315508,354.1523482
2010 春源,4.49,6.2,6671,"7,901",15803,18.43801529,100.0126566
2012 春雨,2.16,8.53,5655,"4,662",8921,-17.5596817,91.35564136
2013 中鋼構,7.3,6.14,4920,"6,350",11840,29.06504065,86.45669291
2014 中鴻,4.68,5.65,13580,"15,001",59073,10.46391753,293.7937471
2015 豐興,9.69,12.95,31116,"33,849",48564,8.78326263,43.47248072
2017 官田鋼,2.36,3.2,2273,"2,913",6820,28.15662121,134.1228974
2020 美亞,2.38,2.76,3338,"3,661",7043,9.676452966,92.37913138
2022 聚亨,3.02,3.49,2749,"2,495",6908,-9.239723536,176.8737475
2023 燁輝,6.6,7.01,17488,"20,324",47831,16.2168344,135.3424523
2024 志聯,0.15,0.13,1141,"1,453",1965,27.34443471,35.23743978
2025 千興,0.04,0.04,647,720,1693,11.28284389,135.1388889
2027 大成鋼,20.77,22.73,40345,"40,881",92892,1.328541331,127.2253614
2028 威致,0.07,0.1,2993,"3,843",13924,28.39959906,262.3211033
2029 盛餘,70.21,70.99,6488,"6,135",10631,-5.44081381,73.28443358
2030 彰源,4.82,6.48,3625,"2,988",8318,-17.57241379,178.3801874
2031 新光鋼,10.71,7.13,8730,"10,106",18691,15.76174112,84.94953493
2032 新鋼,0.14,0.17,1205,"1,338",3106,11.0373444,132.1375187
2033 佳大,0.13,0.11,780,783,1432,0.384615385,82.88633461
2034 允強,11.6,12.14,10606,"9,669",14362,-8.834621912,48.53656014
2038 海光,1.32,0.65,1320,"1,793",6381,35.83333333,255.8839933
