前面的資料是直接從TEJ資料庫抓的，然後成長率是用Excel 算的

公司,外資合計(比率)2020,外資合計(比率)2019,市值(百萬元)2019,市值(百萬元)2020,市值(百萬元)2021,2020成長率,2021成長率
2471 資通,2.53,0.71,865,"1,025",1252,18.49710983,22.14634146
2472 立隆電,2.35,4.51,5111,"7,557",10835,47.85756212,43.37700146
2474 可成,50.34,66.4,196450,"142,803",119193,-27.30822092,-16.53326611
2476 鉅祥,9.4,12.63,4365,"3,496",14369,-19.90836197,311.0125858
2477 美隆電,22.66,22.78,5035,"6,105",6115,21.25124131,0.163800164
2478 大毅,6.37,3.6,5491,"10,496",9466,91.14915316,-9.813262195
2480 敦陽科,6.28,12.27,5733,"7,073",7743,23.37345194,9.472642443
2481 強茂,11.56,7.95,8953,"13,429",40961,49.99441528,205.0189888
2482 連宇,0.37,0.15,785,627,1074,-20.12738854,71.29186603
2483 百容,0.19,0.15,2262,"2,084",2918,-7.869142352,40.01919386
2484 希華,6.75,5.69,3165,"3,308",6233,4.518167457,88.42200726
2485 兆赫,6.58,4.26,6449,"5,893",6957,-8.621491704,18.05531987
2486 一詮,3.31,4.19,1616,"2,636",11431,63.11881188,333.6494689
2488 漢平,3.23,5.97,2664,"2,308",2200,-13.36336336,-4.679376083
2489 瑞軒,12.76,13.85,8741,"8,822",13376,0.926667429,51.62094763
2491 吉祥全,7.79,7.76,849,732,1710,-13.78091873,133.6065574
2492 華新科,23.06,29.07,77728,"90,359",81129,16.25025731,-10.21480981
2493 揚博,6.83,5.68,3210,"3,765",4412,17.28971963,17.18459495
2495 普安,17.62,16.57,3898,"3,406",5197,-12.62185736,52.58367587
2496 卓越,47.29,58.75,1128,"1,159",945,2.74822695,-18.46419327
2497 怡利電,1.36,1.48,2827,"2,453",9825,-13.22957198,300.5299633
2498 宏達電,15.37,14.92,28372,"23,863",69875,-15.89242916,192.8173323
2501 國建,9.33,10.97,25278,"23,365",22322,-7.567845557,-4.463941793
2504 國產,11.34,11.44,19321,"33,689",34397,74.36468092,2.101576182
2505 國揚,3.15,5.24,10100,"17,240",9310,70.69306931,-45.99767981
2506 太設,3.42,3.23,4412,"3,785",3769,-14.21124207,-0.422721268
2509 全坤建,1.52,1.39,4818,"4,300",4143,-10.75134911,-3.651162791
2511 太子,9.1,9.11,18100,"17,857",21753,-1.342541436,21.81777454
2514 龍邦,3.76,7.57,8221,"5,388",6987,-34.46052792,29.67706013
2515 中工,10.3,8.24,12018,"11,849",13870,-1.406223997,17.05629167
2516 新建,2.54,3.04,1374,"1,161",1518,-15.50218341,30.74935401
2520 冠德,20.69,8.78,15441,"18,540",20920,20.06994366,12.83710895
2524 京城,1.89,2.27,12007,"14,235",15168,18.55584243,6.55426765
2527 宏璟,29.13,28.68,6149,"4,974",8434,-19.10879818,69.56172095
2528 皇普,0.17,0.04,5805,"8,019",7177,38.13953488,-10.50006235
2530 華建,1.11,1.51,4346,"4,115",10451,-5.315232398,153.9732685
2534 宏盛,11.99,17.12,15598,"10,552",11381,-32.35030132,7.856330553
2535 達欣工,7.67,13.49,6113,"9,445",11086,54.50678881,17.3742721
2536 宏普,17.2,19.09,7089,"7,954",7705,12.2020031,-3.130500377
2537 聯上發,2.19,0.61,2516,"3,111",3111,23.64864865,0
2538 基泰,13.63,13.88,5415,"4,327",5524,-20.0923361,27.6635082
2539 櫻花建,0.16,0.05,13550,"17,069",19933,25.9704797,16.778956
2540 愛山林,0.06,0.05,3482,"9,206",11643,164.3882826,26.47186617
2542 興富發,18.83,23.92,54482,"56,465",62701,3.639734224,11.04400956
2543 皇昌,0.1,0.07,1841,"1,706",1883,-7.332971211,10.37514654
2545 皇翔,3.75,3.87,11487,"12,634",12274,9.985200662,-2.849453855
2546 根基,3.15,1.07,3939,"5,137",5265,30.41381061,2.491726689
2547 日勝生,22.2,25.4,10902,"9,721",9766,-10.8328747,0.462915338
2548 華固,29.61,26.64,23695,"24,415",25301,3.038615742,3.62891665
2597 潤弘,0.85,1.34,8141,"8,289",22656,1.817958482,173.3260948
2601 益航,10.68,12.67,7097,"6,394",10936,-9.905593913,71.03534564
2603 長榮,23.18,24.07,61125,"97,222",753946,59.05439673,675.4890868
2605 新興,33.28,32.31,9307,"8,663",17092,-6.91952294,97.29885721
2606 裕民,8.88,8.5,27929,"25,140",51041,-9.98603602,103.0270485
2607 榮運,6.54,7.24,14780,"16,434",31267,11.19079838,90.2580017
2608 嘉里大榮,9.09,10.21,18026,"18,984",20992,5.314545656,10.57732828
2609 陽明,5.32,5.83,19536,"35,852",422545,83.51760852,1078.58139
2610 華航,13.43,18.5,49006,"49,331",163160,0.6631841,230.7453731
2611 志信,0.11,0.08,1276,"1,237",3471,-3.056426332,180.5982215
2612 中航,2.31,5.78,5875,"5,095",11533,-13.27659574,126.3591757
2613 中櫃,0.04,0.33,1989,"2,516",3918,26.4957265,55.72337043
2614 東森,2.35,4.11,5791,"9,660",17482,66.81056812,80.97308489
2615 萬海,41.8,41.92,40151,"71,984",484365,79.2832059,572.8786953
2616 山隆,3.23,3.77,4050,"4,132",5011,2.024691358,21.27299129
2617 台航,3.29,4.67,7407,"7,177",15502,-3.105170784,115.9955413
2618 長榮航,27.67,31.67,69649,"58,728",143633,-15.68005284,144.573287
2630 亞航,0.09,0.03,2162,"2,112",2818,-2.312673451,33.4280303
2633 台灣高鐵,14.2,14.45,204307,"178,417",166597,-12.67210619,-6.624929239
2634 漢翔,1.75,6.58,29951,"26,890",27644,-10.22002604,2.804016363
2636 台驊投控,13.77,17.18,2794,"4,411",20773,57.87401575,370.9362956
2642 宅配通,5.09,4.89,2936,"3,270",6864,11.3760218,109.9082569
2701 萬企,0.91,0.9,5917,"5,377",5490,-9.126246409,2.101543612
2702 華園,37.29,37.05,2055,"1,784",2817,-13.18734793,57.90358744
2704 國賓,8.65,8.31,9320,"10,934",11411,17.31759657,4.36253887
2705 六福,2.96,3.53,2947,"4,113",3358,39.56565999,-18.35643083
2706 第一店,2.58,2.63,7500,"6,850",7200,-8.666666667,5.109489051
2707 晶華,14.64,15.73,20384,"17,581",19238,-13.75098116,9.424947386
2712 遠雄來,0.05,0.03,5586,"4,993",4484,-10.61582528,-10.19427198
2722 夏都,0.11,0.04,2810,"2,978",3569,5.978647687,19.84553392
2727 王品,10.33,13.95,6159,"7,352",10393,19.3700276,41.36289445
2731 雄獅,3.18,5.96,5362,"4,963",6451,-7.441253264,29.98186581
2739 寒舍,1.95,2.78,2783,"2,783",2526,0,-9.234638879
2748 雲品,0.8,1.32,3689,"3,136",3570,-14.99051233,13.83928571
2801 彰銀,14.17,17.84,228664,"187,444",178306,-18.02644929,-4.875056017
2809 京城銀,17.02,21.22,36426,"44,289",45466,21.58622962,2.657544763
2812 台中銀,12.56,14.03,44321,"46,291",55143,4.444845559,19.12250761
2816 旺旺保,1.21,21.99,4217,"4,472",4383,6.04695281,-1.990161002
2820 華票,7.8,11.07,20077,"20,077",23099,0,15.05204961
2832 台產,3.23,3.24,7425,"7,298",7389,-1.71043771,1.246916964
2834 臺企銀,22.85,26.73,89150,"75,635",76658,-15.15984296,1.352548423
2836 高雄銀,7.28,7.48,10409,"11,133",14078,6.955519262,26.45288781
2838 聯邦銀,3.01,2.36,31296,"32,171",44815,2.795884458,39.30247739
2841 台開,10.01,10.34,6559,"5,829",3196,-11.12974539,-45.17069823
2845 遠東銀,12.32,13.6,40941,"36,895",37775,-9.882513861,2.385147039
2849 安泰銀,58.94,59.32,30739,"29,662",32012,-3.503692378,7.922594565
2850 新產,8.48,9.86,12054,"12,117",15008,0.522648084,23.85904102
2851 中再保,2.23,2.49,10834,"13,195",17505,21.79250508,32.66388784
2852 第一保,4.14,4.78,4322,"3,975",4412,-8.028690421,10.99371069
2855 統一證,10.39,10.58,18733,"21,348",34430,13.95932312,61.27974518
2867 三商壽,7.48,6.86,25973,"20,921",24666,-19.45096831,17.90067396
2880 華南金,19.94,20.32,267800,"239,099",279716,-10.71732636,16.987524
2881 富邦金,25.8,26.48,462559,"466,141",900719,0.7743877,93.22887281
2882 國泰金,20.42,25.3,556399,"543,230",823076,-2.366826684,51.51519614
2883 開發金,24.98,30.42,148023,"131,613",300874,-11.086115,128.605077
2884 玉山金,41.12,45.96,317212,"333,028",374597,4.985940002,12.48213363
2885 元大金,37.99,42.25,232245,"231,218",307077,-0.44220543,32.80843187
2886 兆豐金,34.75,38.78,413435,"403,915",483474,-2.302659427,19.69696595
2887 台新金,26.95,27.28,152930,"145,693",216208,-4.732230432,48.39971721
2888 新光金,20.52,23.36,127894,"112,887",155925,-11.73393592,38.12485051
2889 國票金,11.97,11.92,31186,"34,903",48110,11.91880972,37.83915423
2890 永豐金,31.58,29.65,143142,"127,926",182028,-10.63000377,42.29163735
2891 中信金,38.72,41.12,421135,"386,040",505947,-8.333432272,31.0607709
2892 第一金,25.72,26.32,284132,"279,179",317622,-1.743203863,13.77001852
2897 王道銀行,1.37,0.97,18677,"17,983",21864,-3.715800182,21.58149363
2901 欣欣,0.07,0.06,1698,"1,749",1932,3.003533569,10.46312178
2903 遠百,14.11,16.98,36132,"35,565",30393,-1.569246098,-14.54238718
2904 匯僑,0.19,0.14,1653,"1,729",1753,4.597701149,1.388085599
2905 三商,7.01,6.48,16286,"20,051",20688,23.11801547,3.176898908
2906 高林,1.81,2.09,2353,"3,011",3199,27.96430089,6.243772833
2908 特力,7.92,10.71,11039,"13,843",10988,25.40085153,-20.62414217
2910 統領,0.12,0.07,5563,"6,867",8349,23.44058961,21.58147663
2911 麗嬰房,18.7,18.38,1396,"1,228",1509,-12.03438395,22.88273616
2912 統一超,39.41,41.45,321243,"280,178",284337,-12.78315792,1.48441348
2913 農林,11.76,11.76,12877,"13,549",16037,5.218606818,18.36297882
2915 潤泰全,17.87,28.62,42082,"38,411",71596,-8.723444703,86.3945224
3002 歐格,0.22,0.13,1107,"1,306",1331,17.9765131,1.91424196
3003 健和興,7.21,7.09,7401,"6,460",14274,-12.71449804,120.9597523
3004 豐達科,2.35,5.12,4996,"2,732",3038,-45.316253,11.20058565
3005 神基,30.41,37.37,28425,"28,439",33266,0.049252419,16.97317065
3006 晶豪科,16.66,14.27,8773,"11,959",47216,36.31596945,294.81562
3008 大立光,52.18,50.31,617716,"444,004",330656,-28.12166109,-25.52859884
3010 華立,23.11,26.43,12449,"14,948",25254,20.07390152,68.94567835
3011 今皓,0.1,0.58,712,706,1341,-0.842696629,89.94334278
3013 晟銘電,2.02,2.01,2257,"1,996",2409,-11.56402304,20.69138277
3014 聯陽,21.03,22,6637,"10,889",17477,64.06508965,60.50142345
3015 全漢,11.38,11.06,3932,"6,535",8614,66.20040692,31.81331293
3016 嘉晶,0.87,0.64,13610,"17,008",37934,24.96693608,123.0362183
3017 奇鋐,34.77,36.98,14274,"24,732",31162,73.26607818,25.99870613
3018 同開,3.14,2.36,1669,"1,470",1492,-11.92330737,1.496598639
3019 亞光,12.35,14.24,22402,"19,339",26394,-13.67288635,36.4806867
3021 鴻名,2.46,2.43,1437,"1,368",2402,-4.801670146,75.58479532
3022 威強電,21.11,18.99,9520,"8,132",8265,-14.57983193,1.635514019
3023 信邦,46.07,48.19,26753,"45,275",66329,69.23335701,46.50248482
3024 憶聲,1.34,1.31,2131,"3,146",3880,47.63022055,23.33121424
3025 星通,2.24,2.44,1355,"1,372",1684,1.254612546,22.74052478
3026 禾伸堂,10.12,16.75,15341,"17,458",18880,13.79962193,8.145262917
3027 盛達,0.12,0.16,746,"1,997",2254,167.69437,12.86930396
3028 增你強,4.88,6.53,4490,"4,608",7441,2.628062361,61.48003472
3029 零壹,3.19,3.74,3974,"4,813",6686,21.11222949,38.91543736
3030 德律,22.2,22.06,12000,"13,181",13819,9.841666667,4.840300432
3031 佰鴻,2.67,3.6,2679,"2,462",4696,-8.100037327,90.73923639
3032 偉訓,1.98,1.72,2996,"5,256",3818,75.43391188,-27.35920852
3033 威健,5.73,6.36,6601,"6,914",13233,4.741705802,91.39427249
3034 聯詠,60.67,71.69,126875,"174,034",327988,37.16965517,88.46202466
3035 智原,23.5,22.18,13447,"10,862",59404,-19.22361865,446.8974406
3036 文曄,24.76,28.24,20898,"30,814",58770,47.4495167,90.72499513
3037 欣興,28.67,38.44,70873,"111,802",340785,57.74977777,204.8111841
3038 全台,3.96,1.33,2858,"2,875",3159,0.594821554,9.87826087
3040 遠見,16.93,17.29,1814,"2,249",2397,23.98015436,6.580702534
3041 揚智,7.83,7,3292,"5,298",8122,60.93560146,53.30313326
3042 晶技,34.29,28.21,11910,"24,564",32679,106.2468514,33.03615046
3043 科風,1.16,1.62,507,"1,210",776,138.6587771,-35.8677686
3044 健鼎,59.17,57.98,72008,"64,387",65438,-10.58354627,1.632317083
3045 台灣大,18.29,19.72,408290,"349,486",351923,-14.40250802,0.697309763
3046 建碁,1.44,0.99,1415,"1,036",3240,-26.7844523,212.7413127
3047 訊舟,3.65,4.36,1893,"2,736",2701,44.53248811,-1.279239766
3048 益登,11.34,5.64,4273,"4,251",7981,-0.514860754,87.74406022
3049 和鑫,9.64,7.32,11055,"8,069",13920,-27.01040253,72.51208328
3050 鈺德,6.46,5.55,1591,"1,759",2686,10.55939661,52.70039795
3051 力特,0.08,0.18,1051,"1,497",5423,42.43577545,262.257849
3052 夆典,2.94,1.26,2802,"2,630",2459,-6.13847252,-6.501901141
3054 立萬利,0.24,0.2,2084,"2,007",2152,-3.694817658,7.224713503
3055 蔚華科,2.11,2.99,2638,"3,575",3550,35.51933283,-0.699300699
3056 總太,8.67,13.09,5533,"8,305",8622,50.09940358,3.816977724
3057 喬鼎,4.62,5.11,1067,925,1331,-13.30834114,43.89189189
3058 立德,1.91,3.23,1212,"1,375",2561,13.44884488,86.25454545
3059 華晶科,12.64,11.4,6443,"7,283",13294,13.03740494,82.53466978
3060 銘異,7.03,11.46,1812,"1,871",3570,3.25607064,90.80705505
3062 建漢,13.52,14.38,5603,"4,781",10203,-14.67071212,113.407237
3090 日電貿,7.87,5.82,8790,"8,406",9630,-4.368600683,14.56102784
3092 鴻碩,1.75,5.84,3236,"4,268",5198,31.89122373,21.7900656
3094 聯傑,1.59,1.82,1405,"1,837",3969,30.74733096,116.0587915
3130 一零四,41.01,41.98,5609,"4,979",5891,-11.23194865,18.31693111
3149 正達,1.83,1.06,2105,"3,065",6419,45.60570071,109.4290375
3164 景岳,0.68,0.86,2179,"1,981",2103,-9.086737035,6.158505805
3167 大量,1.54,2.71,2961,"3,450",8494,16.51469098,146.2028986
3189 景碩,15.49,15.77,20862,"35,167",105047,68.56964816,198.709017
3209 全科,2.32,1.39,3458,"3,982",5896,15.15326778,48.06629834
3229 晟鈦,1.46,2.01,1220,860,608,-29.50819672,-29.30232558
3231 緯創,54.86,38.87,79253,"83,656",84630,5.555625655,1.164291862
3257 虹冠電,0.72,0.88,3975,"5,164",5503,29.91194969,6.564678544
3266 昇陽,5.05,4.92,5443,"5,056",4844,-7.110049605,-4.193037975
3296 勝德,1.92,1.81,1532,"1,296",1843,-15.40469974,42.20679012
3305 昇貿,2.47,2.81,2726,"2,986",10877,9.537784299,264.2665774
3308 聯德,0.09,0.08,552,669,1193,21.19565217,78.32585949
3311 閎暉,1.07,3.14,1572,"1,755",2455,11.64122137,39.88603989
3312 弘憶股,9.02,7.11,2007,"1,720",3386,-14.29995017,96.86046512
3321 同泰,0.34,0.35,1376,"1,993",2217,44.84011628,11.23933768
3338 泰碩,2.56,1.96,7960,"5,470",4827,-31.28140704,-11.75502742
3346 麗清,4.76,4.65,2361,"3,315",4252,40.40660737,28.26546003
3356 奇偶,1.99,2.73,2741,"2,282",2847,-16.74571324,24.75898335
3376 新日興,27.48,27.87,23034,"28,502",18594,23.73882087,-34.76247281
3380 明泰,7.46,6.64,12266,"14,491",18175,18.1395728,25.42267614
3383 新世紀,17.34,17.65,264,259,587,-1.893939394,126.6409266
3406 玉晶光,27.47,21.5,46241,"64,432",59268,39.33954716,-8.014651105
3413 京鼎,18.01,12.14,12982,"15,561",22438,19.86596826,44.19381788
3416 融程電,2.03,1.93,4013,"5,216",5685,29.97757289,8.991564417
3419 譁裕,6.25,5.41,2139,"1,928",3078,-9.864422627,59.6473029
3432 台端,4.99,3.58,846,852,1015,0.709219858,19.1314554
3437 榮創,10.81,8.19,2132,"3,028",3715,42.02626642,22.68824306
3443 創意,17.92,10.95,35781,"39,400",78531,10.11430648,99.31725888
3450 聯鈞,9.05,15.25,7575,"10,037",8275,32.50165017,-17.55504633
3454 晶睿,7.54,8.42,8016,"6,435",6493,-19.72305389,0.901320901
3481 群創,25.15,36.26,65744,"91,770",206969,39.58688245,125.5301297
3494 誠研,12.31,5.06,842,847,598,0.593824228,-29.39787485
3501 維熹,3.04,4.77,5854,"5,534",5700,-5.466347796,2.999638598
3504 揚明光,1.58,1.54,8497,"6,216",13402,-26.84476874,115.6048906
3515 華擎,4.05,0.86,8713,"19,544",34604,124.3085045,77.05689726
3518 柏騰,8.51,7.76,1833,"2,297",2019,25.3136934,-12.10274271
3528 安馳,2.14,2.21,2460,"2,707",3319,10.04065041,22.6080532
3530 晶相光,46.18,46.86,7048,"7,131",10668,1.177639047,49.60033656
3532 台勝科,48.17,48.85,44409,"46,348",112476,4.36623207,142.6771382
3533 嘉澤,22.28,17.05,29129,"43,202",80649,48.31267809,86.67885746
3535 晶彩科,4.26,2.75,1640,"1,482",1455,-9.634146341,-1.821862348
3536 誠創,0.21,0.38,642,465,657,-27.57009346,41.29032258
3545 敦泰,23.08,17.57,7233,"11,827",37165,63.51444767,214.2386066
3550 聯穎,0.74,0.59,1262,"1,211",1666,-4.041204437,37.57225434
3557 嘉威,34.73,33.92,3572,"6,341",6159,77.51959686,-2.870209746
3563 牧德,11.92,25.19,12527,"12,837",12479,2.474654746,-2.788813586
3576 聯合再生,9.61,11.33,19737,"38,784",35570,96.50402797,-8.286922442
3583 辛耘,7.89,9.43,4252,"4,828",8763,13.54656632,81.50372825
3588 通嘉,5.79,3.65,1167,"2,006",7930,71.89374464,295.3140578
3591 艾笛森,4.99,6.23,1550,"1,507",3026,-2.774193548,100.796284
3593 力銘,0.06,0.08,383,947,1442,147.2584856,52.27032735
3596 智易,11.07,30.59,18747,"20,049",27361,6.945111218,36.47064692
3605 宏致,9.27,8.83,3556,"4,284",6989,20.47244094,63.14192344
3607 谷崧,7.3,6.26,2117,"1,618",2281,-23.57109117,40.97651422
3617 碩天,3.8,3.05,8136,"6,355",5610,-21.89036382,-11.72305271
3622 洋華,2.57,2.9,2822,"3,185",4358,12.86321758,36.8288854
3645 達邁,8.05,8.32,6173,"7,475",5664,21.09185161,-24.22742475
3653 健策,6.6,7.73,21785,"30,983",49882,42.22171219,60.99796663
3669 圓展,1.76,1.89,1510,"8,502",6151,463.0463576,-27.6523171
3679 新至陞,13.73,14.36,4373,"6,746",5734,54.26480677,-15.00148236
3682 亞太電,4.03,5.06,27423,"36,034",35487,31.40064909,-1.518010768
3686 達能,2.22,3.49,587,"2,145",1799,265.4173765,-16.13053613
3694 海華,0.63,0.72,2748,"4,882",4084,77.65647744,-16.34575993
3701 大眾控,3.31,3.28,2655,"2,532",15134,-4.632768362,497.7093207
3702 大聯大,31.25,34.2,64308,"67,582",88318,5.091123966,30.68272617
3703 欣陸,21.02,22.55,12307,"21,362",20704,73.57601365,-3.080235933
3704 合勤控,10.07,9.26,8801,"10,632",15854,20.80445404,49.1158766
3705 永信,12.9,13.25,11456,"11,576",11443,1.047486034,-1.148928818
3706 神達,18.42,22.35,29895,"35,412",42471,18.45459107,19.9339207
3708 上緯投控,13.55,15.59,7527,"15,615",8743,107.4531686,-44.00896574
3711 日月光投控,67.87,69.43,337428,"310,210",469221,-8.066313406,51.25914703
3712 永崴投控,1.28,0.88,5097,"9,283",8089,82.12674122,-12.86222126
4104 佳醫,6.85,6.22,6677,"8,088",8130,21.13224502,0.519287834
4106 雃博,1.24,1.48,2422,"3,007",2967,24.15359207,-1.330229465
4108 懷特,0.52,0.38,3051,"4,066",4628,33.26778106,13.82193802
4119 旭富,13.57,15.37,8386,"9,697",8012,15.63319819,-17.3765082
4133 亞諾法,15.41,16.69,1629,"3,706",2637,127.5015347,-28.84511603
4142 國光生,4.99,8.79,8943,"26,200",19178,192.966566,-26.80152672
4155 訊映,0.87,6.19,2740,"2,858",2217,4.306569343,-22.42827152
4164 承業醫,26.61,31.16,5665,"6,140",6270,8.384819064,2.117263844
4306 炎洲,6.14,7.28,6519,"9,158",9862,40.48166897,7.687267962
4414 如興,19.94,14.25,10480,"9,267",5896,-11.57442748,-36.37638934
4426 利勤,7,11.73,7442,"4,835",4015,-35.03090567,-16.95966908
4438 廣越,5.22,3.05,15351,"10,803",13490,-29.62673441,24.87272054
4526 東台,7.57,8.02,4319,"3,682",4421,-14.74878444,20.0706138
4532 瑞智,11.05,11.78,11638,"10,401",9644,-10.62897405,-7.278146332
4536 拓凱,12.47,13.07,11080,"14,531",13623,31.14620939,-6.248709655
4540 全球傳動,2.52,1.66,5192,"4,351",4704,-16.19799692,8.113077453
4545 銘鈺,35.18,34.46,1829,"2,957",2256,61.67304538,-23.70645925
4551 智伸科,59.84,49.3,14011,"21,492",21306,53.39376204,-0.865438303
4555 氣立,6.11,6.57,3344,"3,264",3577,-2.392344498,9.589460784
4562 穎漢,1.47,1.5,1955,"1,128",1405,-42.30179028,24.55673759
4564 元翎,2.36,1.99,8232,"5,372",7705,-34.74246842,43.42889054
4566 時碩工業,4,3.48,3520,"2,563",3638,-27.1875,41.94303551
4572 駐龍,0.44,0.03,4744,"2,792",3652,-41.14671164,30.80229226
4576 大銀微系統,1.9,1.62,9209,"9,193",13538,-0.173743077,47.26422278
4720 德淵,2.93,2.59,1227,"1,175",1587,-4.23797881,35.06382979
4722 國精化,7.35,8.12,2740,"2,800",4415,2.189781022,57.67857143
4737 華廣,30.16,30.49,3685,"4,328",4732,17.44911805,9.334565619
4739 康普,2.41,3.32,7033,"5,079",15840,-27.78330727,211.8724158
4746 台耀,2.58,5.02,3495,"5,296",7275,51.53075823,37.36782477
4755 三福化,32.11,32.12,3878,"6,848",17573,76.585869,156.6150701
4764 雙鍵,37.26,37.82,5137,"4,676",4826,-8.974109402,3.207869974
4766 南寶,10.96,9.91,18508,"18,146",17121,-1.955910957,-5.648627797
4904 遠傳,20.91,24.45,246669,"199,746",210499,-19.02265789,5.383336838
4906 正文,9.95,7.9,8476,"10,603",11879,25.09438414,12.03432991
4915 致伸,57.02,69.47,28593,"21,170",25813,-25.96089952,21.93197922
4916 事欣科,2.02,3.19,2972,"1,778",2704,-40.17496635,52.08098988
4919 新唐,3.78,3.03,13314,"16,198",59123,21.66140904,265.0018521
4930 燦星網,5.25,5.5,1383,"2,619",3465,89.37093275,32.3024055
4934 太極,2.47,2.29,1911,"5,790",8933,202.9827316,54.28324698
4938 和碩,42.3,39.78,174180,"163,157",184437,-6.328510736,13.04265217
4942 嘉彰,16.96,21.11,5987,"5,666",7161,-5.361616836,26.38545711
4952 凌通,1.85,1.99,3558,"3,776",7367,6.127037662,95.10063559
4956 光鋐,7.72,8.1,1345,"1,822",2631,35.46468401,44.40175631
4960 誠美材,12.58,16.21,4993,"6,198",9424,24.1337873,52.04904808
4961 天鈺,1.86,1.15,5940,"6,076",52606,2.28956229,765.7998683
4967 十銓,9.3,8.7,1703,"2,432",4957,42.80681151,103.8240132
4968 立積,18.32,11.57,13428,"17,820",24152,32.7077748,35.53310887
4976 佳凌,2.11,0.57,3123,"5,786",9545,85.27057317,64.96716212
4989 榮科,0.99,0.79,3575,"2,664",6338,-25.48251748,137.9129129
4994 傳奇,1.93,0.25,9449,"7,391",7192,-21.78008255,-2.692463807
4999 鑫禾,9.16,11.54,3192,"3,468",3059,8.646616541,-11.79354095
5007 三星,3.5,3.69,15189,"13,567",16959,-10.6787807,25.00184271
5203 訊連,23.44,23.8,9455,"8,503",6867,-10.06874669,-19.24026814
5234 達興材料,8.98,11.51,8361,"8,248",15818,-1.351512977,91.77982541
5258 虹堡,3.61,1.9,2498,"1,943",3447,-22.21777422,77.40607308
5269 祥碩,18.02,22.35,31760,"101,411",125977,219.3041562,24.22419659
5283 禾聯碩,0.42,0,7372,"7,519",8614,1.99403147,14.5631068
5285 界霖,1.8,1.68,5636,"4,516",11034,-19.87224982,144.3312666
5388 中磊,26.69,22.67,18729,"19,185",19106,2.434726894,-0.411780036
5434 崇越,28.68,17.56,17552,"21,986",28709,25.2620784,30.57854999
5469 瀚宇博,15.07,14.64,22705,"22,697",23991,-0.03523453,5.70119399
5471 松翰,12.76,7.68,5532,"10,962",15445,98.15618221,40.89582193
5484 慧友,0.49,0.44,664,719,844,8.28313253,17.3852573
5515 建國,5.03,6.88,3443,"3,128",3630,-9.148997967,16.04859335
5519 隆大,2.4,3.6,3312,"3,321",4735,0.27173913,42.57753689
5521 工信,7.37,8.64,3424,"5,437",4209,58.79088785,-22.58598492
5522 遠雄,10.73,11.06,30315,"36,657",48303,20.92033647,31.77019396
5525 順天,2.32,2.31,5574,"5,662",7488,1.578758522,32.25008831
5531 鄉林,6.09,6.11,11642,"10,460",10753,-10.15289469,2.801147228
5533 皇鼎,3.19,3.88,4550,"4,592",5448,0.923076923,18.64111498
5534 長虹,18.13,21.46,23574,"23,633",21194,0.250275727,-10.32031481
5607 遠雄港,2.58,3.94,4991,"6,934",15524,38.93007413,123.882319
5608 四維航,7.89,7.77,2360,"2,005",14883,-15.04237288,642.2942643
5706 鳳凰,1.45,1.26,2369,"1,987",2866,-16.12494724,44.23754404
5876 上海商銀,56.68,54.56,235284,"180,160",211756,-23.42870743,17.53774423
5880 合庫金,19.49,21.43,271863,"272,685",346143,0.302358173,26.93877551
6005 群益證,18.31,19.02,22141,"24,965",36797,12.75461813,47.39435209
6024 群益期,2.36,2.76,7675,"7,944",8197,3.504885993,3.184793555
6108 競國,6.59,9.93,4189,"3,278",3550,-21.74743376,8.297742526
6112 聚碩,1.74,3.42,6451,"7,572",7487,17.37715083,-1.122556788
6115 鎰勝,12.47,13.4,7929,"7,732",8051,-2.484550385,4.12571133
6116 彩晶,10.52,16.73,20277,"30,738",57507,51.59047196,87.08764396
6117 迎廣,3.33,3.3,1201,"1,472",1702,22.56452956,15.625
6120 達運,9.56,8.17,10349,"7,554",10649,-27.00744033,40.97167064
6128 上福,2.37,2.26,3994,"3,515",3681,-11.99298948,4.722617354
6133 金橋,4.88,4.9,965,963,1305,-0.207253886,35.51401869
6136 富爾特,4.45,4.68,2247,"1,999",2270,-11.03693814,13.55677839
6139 亞翔,16.6,15.7,5650,"6,067",7341,7.380530973,20.99884622
6141 柏承,2.94,3.8,2547,"3,481",3690,36.67059285,6.004021833
6142 友勁,2.8,3.43,2167,"2,068",3771,-4.568527919,82.35009671
6152 百一,0.2,0.16,1102,"1,854",2063,68.23956443,11.27292341
6153 嘉聯益,9.99,11.33,19648,"16,546",14711,-15.78786645,-11.09029373
6155 鈞寶,2.51,1.86,2080,"2,063",2147,-0.817307692,4.071740184
6164 華興,0.54,1.46,652,726,1760,11.34969325,142.4242424
6165 浪凡,6.94,0.09,566,"3,242",2018,472.7915194,-37.75447255
6166 凌華,12.3,17.81,10222,"14,464",14094,41.49872823,-2.558075221
6168 宏齊,3.5,4.02,2596,"2,978",5646,14.71494607,89.59032908
6172 互億,0.44,0.05,615,852,603,38.53658537,-29.22535211
6176 瑞儀,55.54,74.11,55106,"51,386",46968,-6.750626066,-8.597672518
6177 達麗,2.75,2.73,7481,"11,048",11812,47.68079134,6.915278783
6183 關貿,1.42,1.63,5408,"7,020",7665,29.80769231,9.188034188
6184 大豐電,2.57,2.46,5981,"6,646",7065,11.11854205,6.304544087
6189 豐藝,4.84,5.08,6213,"6,404",8070,3.07419926,26.01499063
